symbol,timeframe,side,price,timestamp,pnl,capital
BTCUSDT,1h,SELL,3530.95,1.5480396E12,-0.02752800237896389,999.6046373109688
BTCUSDT,1h,BUY,3523.86,1.5480432E12,,
BTCUSDT,1h,SELL,3525.88,1.5480468E12,0.011458132437859382,999.6160954434066
BTCUSDT,1h,BUY,3527.0,1.5480504E12,,
BTCUSDT,1h,SELL,3526.83,1.548054E12,-9.64038527516624E-4,999.6151314048791
BTCUSDT,1h,BUY,3523.65,1.5480576E12,,
BTCUSDT,1h,SELL,3525.29,1.5480612E12,0.009304199087166575,999.6244356039663
BTCUSDT,1h,BUY,3532.01,1.5480648E12,,
BTCUSDT,1h,SELL,3545.05,1.5480684E12,0.07356736858436391,999.6980029725506
BTCUSDT,1h,BUY,3538.95,1.548072E12,,
BTCUSDT,1h,SELL,3536.41,1.5480756E12,-0.014364850229469796,999.6836381223211
BTCUSDT,1h,BUY,3526.14,1.5480792E12,,
BTCUSDT,1h,SELL,3528.17,1.5480828E12,0.01150738201390636,999.695145504335
BTCUSDT,1h,BUY,3536.75,1.5480864E12,,
BTCUSDT,1h,SELL,3533.76,1.54809E12,-0.01692248483201905,999.678223019503
BTCUSDT,1h,BUY,3534.98,1.5480936E12,,
BTCUSDT,1h,SELL,3528.82,1.5480972E12,-0.034912520332574935,999.6433104991704
BTCUSDT,1h,BUY,3530.4,1.5481008E12,,
BTCUSDT,1h,SELL,3513.0,1.5481044E12,-0.09906063193851461,999.5442498672319
BTCUSDT,1h,BUY,3522.14,1.548108E12,,
BTCUSDT,1h,SELL,3526.9,1.5481116E12,0.02699254302645506,999.5712424102584
BTCUSDT,1h,BUY,3534.39,1.5481152E12,,
BTCUSDT,1h,SELL,3535.52,1.5481188E12,0.006392270443952285,999.5776346807023
BTCUSDT,1h,BUY,3529.23,1.5481224E12,,
BTCUSDT,1h,SELL,3523.0,1.548126E12,-0.035367584445075324,999.5422670962572
BTCUSDT,1h,BUY,3523.86,1.5481296E12,,
BTCUSDT,1h,SELL,3520.62,1.5481332E12,-0.018405848969785074,999.5238612472874
BTCUSDT,1h,BUY,3514.95,1.5481368E12,,
BTCUSDT,1h,SELL,3515.7,1.5481404E12,0.004266575646386211,999.5281278229338
BTCUSDT,1h,BUY,3530.41,1.548144E12,,
BTCUSDT,1h,SELL,3511.29,1.5481476E12,-0.10890584372125282,999.4192219792126
BTCUSDT,1h,BUY,3514.85,1.5481512E12,,
BTCUSDT,1h,SELL,3535.15,1.5481548E12,0.11484661188351375,999.5340685910961
BTCUSDT,1h,BUY,3551.02,1.5481584E12,,
BTCUSDT,1h,SELL,3550.51,1.548162E12,-0.002872826720666966,999.5311957643754
BTCUSDT,1h,BUY,3562.02,1.5481656E12,,
BTCUSDT,1h,SELL,3577.32,1.5481692E12,0.08553889503874511,999.6167346594142
BTCUSDT,1h,BUY,3571.76,1.5481728E12,,
BTCUSDT,1h,SELL,3580.08,1.5481764E12,0.04647940828137756,999.6632140676955
BTCUSDT,1h,BUY,3588.0,1.54818E12,,
BTCUSDT,1h,SELL,3578.46,1.5481836E12,-0.053319025502590295,999.609895042193
BTCUSDT,1h,BUY,3584.28,1.5481872E12,,
BTCUSDT,1h,SELL,3565.26,1.5481908E12,-0.10669628582487661,999.5031987563681
BTCUSDT,1h,BUY,3577.99,1.5481944E12,,
BTCUSDT,1h,SELL,3570.93,1.548198E12,-0.03954151999619116,999.4636572363719
BTCUSDT,1h,BUY,3574.99,1.5482016E12,,
BTCUSDT,1h,SELL,3577.65,1.5482052E12,0.014870096292260614,999.4785273326642
BTCUSDT,1h,BUY,3588.52,1.5482088E12,,
BTCUSDT,1h,SELL,3581.31,1.5482124E12,-0.04026459591601976,999.4382627367481
BTCUSDT,1h,BUY,3570.24,1.548216E12,,
BTCUSDT,1h,SELL,3574.0,1.5482196E12,0.021040850587578167,999.4593035873357
BTCUSDT,1h,BUY,3576.98,1.5482232E12,,
BTCUSDT,1h,SELL,3561.73,1.5482268E12,-0.08563254373576885,999.3736710436
BTCUSDT,1h,BUY,3569.03,1.5482304E12,,
BTCUSDT,1h,SELL,3561.68,1.548234E12,-0.041272657846860836,999.3323983857531
BTCUSDT,1h,BUY,3573.89,1.5482376E12,,
BTCUSDT,1h,SELL,3577.8,1.5482412E12,0.021857007099336512,999.3542553928525
BTCUSDT,1h,BUY,3568.98,1.5482448E12,,
BTCUSDT,1h,SELL,3586.75,1.5482484E12,0.09908691712553136,999.453342309978
BTCUSDT,1h,BUY,3567.83,1.548252E12,,
BTCUSDT,1h,SELL,3549.07,1.5482556E12,-0.10571783594011819,999.3476244740378
BTCUSDT,1h,BUY,3570.8,1.5482592E12,,
BTCUSDT,1h,SELL,3569.01,1.5482628E12,-0.010030792852919792,999.3375936811849
BTCUSDT,1h,BUY,3571.18,1.5482664E12,,
BTCUSDT,1h,SELL,3533.4,1.54827E12,-0.2138450217920402,999.1237486593928
BTCUSDT,1h,BUY,3534.11,1.5482736E12,,
BTCUSDT,1h,SELL,3544.5,1.5482772E12,0.05862604034419451,999.182374699737
BTCUSDT,1h,BUY,3552.0,1.5482808E12,,
BTCUSDT,1h,SELL,3552.82,1.5482844E12,0.004616051474604194,999.1869907512116
BTCUSDT,1h,BUY,3551.51,1.548288E12,,
BTCUSDT,1h,SELL,3536.0,1.5482916E12,-0.08772624434389263,999.0992645068677
BTCUSDT,1h,BUY,3547.14,1.5482952E12,,
BTCUSDT,1h,SELL,3532.57,1.5482988E12,-0.08248951896211375,999.0167749879056
BTCUSDT,1h,BUY,3540.0,1.5483024E12,,
BTCUSDT,1h,SELL,3533.59,1.548306E12,-0.03628038340611024,998.9804946044994
BTCUSDT,1h,BUY,3536.81,1.5483096E12,,
BTCUSDT,1h,SELL,3546.33,1.5483132E12,0.05368930697368819,999.0341839114731
BTCUSDT,1h,BUY,3548.84,1.5483168E12,,
BTCUSDT,1h,SELL,3547.88,1.5483204E12,-0.0054116824695313055,999.0287722290035
BTCUSDT,1h,BUY,3543.1,1.548324E12,,
BTCUSDT,1h,SELL,3563.23,1.5483276E12,0.11298737381533108,999.1417596028189
BTCUSDT,1h,BUY,3568.95,1.5483312E12,,
BTCUSDT,1h,SELL,3560.15,1.5483348E12,-0.049436119264636195,999.0923234835542
BTCUSDT,1h,BUY,3562.0,1.5483384E12,,
BTCUSDT,1h,SELL,3553.41,1.548342E12,-0.04834792495096342,999.0439755586033
BTCUSDT,1h,BUY,3554.69,1.5483456E12,,
BTCUSDT,1h,SELL,3549.22,1.5483492E12,-0.03082367393399257,999.0131518846692
BTCUSDT,1h,BUY,3555.88,1.5483528E12,,
BTCUSDT,1h,SELL,3574.93,1.5483564E12,0.10657551336669378,999.1197273980359
BTCUSDT,1h,BUY,3568.05,1.54836E12,,
BTCUSDT,1h,SELL,3569.56,1.5483636E12,0.008460426495140934,999.1281878245311
BTCUSDT,1h,BUY,3566.65,1.5483672E12,,
BTCUSDT,1h,SELL,3569.62,1.5483708E12,0.01664042671208588,999.1448282512432
BTCUSDT,1h,BUY,3569.83,1.5483744E12,,
BTCUSDT,1h,SELL,3578.39,1.548378E12,0.04784274492159852,999.1926709961648
BTCUSDT,1h,BUY,3566.92,1.5483816E12,,
BTCUSDT,1h,SELL,3568.06,1.5483852E12,0.006390027073535045,999.1990610232383
BTCUSDT,1h,BUY,3570.66,1.5483888E12,,
BTCUSDT,1h,SELL,3565.52,1.5483924E12,-0.02883169916309471,999.1702293240752
BTCUSDT,1h,BUY,3567.14,1.548396E12,,
BTCUSDT,1h,SELL,3568.48,1.5483996E12,0.00751020042146878,999.1777395244967
BTCUSDT,1h,BUY,3549.67,1.5484032E12,,
BTCUSDT,1h,SELL,3557.28,1.5484068E12,0.04278549903296973,999.2205250235297
BTCUSDT,1h,BUY,3544.53,1.5484104E12,,
BTCUSDT,1h,SELL,3541.97,1.548414E12,-0.014455232540085886,999.2060697909897
BTCUSDT,1h,BUY,3548.7,1.5484176E12,,
BTCUSDT,1h,SELL,3553.14,1.5484212E12,0.024991978925682945,999.2310617699153
BTCUSDT,1h,BUY,3563.01,1.5484248E12,,
BTCUSDT,1h,SELL,3566.92,1.5484284E12,0.02192367644914859,999.2529854463645
BTCUSDT,1h,BUY,3557.73,1.548432E12,,
BTCUSDT,1h,SELL,3561.53,1.5484356E12,0.021339143570320518,999.2743245899348
BTCUSDT,1h,BUY,3545.3,1.5484392E12,,
BTCUSDT,1h,SELL,3553.21,1.5484428E12,0.04452312134661253,999.3188477112815
BTCUSDT,1h,BUY,3558.06,1.5484464E12,,
BTCUSDT,1h,SELL,3562.77,1.54845E12,0.026440101381790218,999.3452878126633
BTCUSDT,1h,BUY,3569.03,1.5484536E12,,
BTCUSDT,1h,SELL,3565.29,1.5484572E12,-0.020980060528036915,999.3243077521353
BTCUSDT,1h,BUY,3562.68,1.5484608E12,,
BTCUSDT,1h,SELL,3566.9,1.5484644E12,0.023662003420338414,999.3479697555556
BTCUSDT,1h,BUY,3575.83,1.548468E12,,
BTCUSDT,1h,SELL,3577.0,1.5484716E12,0.006541794800112233,999.3545115503557
BTCUSDT,1h,BUY,3572.61,1.5484752E12,,
BTCUSDT,1h,SELL,3574.84,1.5484788E12,0.012476082845665922,999.3669876332013
BTCUSDT,1h,BUY,3581.14,1.5484824E12,,
BTCUSDT,1h,SELL,3620.58,1.548486E12,0.21786564583575035,999.5848532790371
BTCUSDT,1h,BUY,3602.03,1.5484896E12,,
BTCUSDT,1h,SELL,3597.27,1.5484932E12,-0.02646451336708236,999.5583887656701
BTCUSDT,1h,BUY,3595.94,1.5484968E12,,
BTCUSDT,1h,SELL,3589.93,1.5485004E12,-0.03348254701345273,999.5249062186566
BTCUSDT,1h,BUY,3585.57,1.548504E12,,
BTCUSDT,1h,SELL,3586.76,1.5485076E12,0.006635515060946674,999.5315417337175
BTCUSDT,1h,BUY,3585.66,1.5485112E12,,
BTCUSDT,1h,SELL,3557.72,1.5485148E12,-0.15706688553343184,999.374474848184
BTCUSDT,1h,BUY,3562.2,1.5485184E12,,
BTCUSDT,1h,SELL,3568.63,1.548522E12,0.03603623799609537,999.4105110861801
BTCUSDT,1h,BUY,3569.42,1.5485256E12,,
BTCUSDT,1h,SELL,3567.55,1.5485292E12,-0.010483384956061673,999.4000277012241
BTCUSDT,1h,BUY,3563.71,1.5485328E12,,
BTCUSDT,1h,SELL,3565.59,1.5485364E12,0.010545239357301929,999.4105729405813
BTCUSDT,1h,BUY,3574.18,1.54854E12,,
BTCUSDT,1h,SELL,3565.25,1.5485436E12,-0.05009466376831827,999.3604782768131
BTCUSDT,1h,BUY,3570.0,1.5485472E12,,
BTCUSDT,1h,SELL,3568.84,1.5485508E12,-0.006500711715850834,999.3539775650972
BTCUSDT,1h,BUY,3577.44,1.5485544E12,,
BTCUSDT,1h,SELL,3578.46,1.548558E12,0.005700776311597625,999.3596783414089
BTCUSDT,1h,BUY,3565.08,1.5485616E12,,
BTCUSDT,1h,SELL,3561.25,1.5485652E12,-0.0215093015093011,999.3381690398995
BTCUSDT,1h,BUY,3562.08,1.5485688E12,,
BTCUSDT,1h,SELL,3562.01,1.5485724E12,-3.9303651589809663E-4,999.3377760033836
BTCUSDT,1h,BUY,3566.31,1.548576E12,,
BTCUSDT,1h,SELL,3552.34,1.5485796E12,-0.07865238124728938,999.2591236221364
BTCUSDT,1h,BUY,3541.99,1.5485832E12,,
BTCUSDT,1h,SELL,3546.73,1.5485868E12,0.026728846007450447,999.2858524681438
BTCUSDT,1h,BUY,3544.68,1.5485904E12,,
BTCUSDT,1h,SELL,3543.56,1.548594E12,-0.0063213265755335925,999.2795311415683
BTCUSDT,1h,BUY,3557.1,1.5485976E12,,
BTCUSDT,1h,SELL,3556.53,1.5486012E12,-0.003205371527864007,999.2763257700404
BTCUSDT,1h,BUY,3562.59,1.5486048E12,,
BTCUSDT,1h,SELL,3563.49,1.5486084E12,0.005051227869305856,999.2813769979098
BTCUSDT,1h,BUY,3557.13,1.548612E12,,
BTCUSDT,1h,SELL,3564.29,1.5486156E12,0.040176304397228364,999.321553302307
BTCUSDT,1h,BUY,3568.68,1.5486192E12,,
BTCUSDT,1h,SELL,3558.71,1.5486228E12,-0.05603153951853227,999.2655217627885
BTCUSDT,1h,BUY,3560.72,1.5486264E12,,
BTCUSDT,1h,SELL,3550.84,1.54863E12,-0.05564880422660359,999.2098729585618
BTCUSDT,1h,BUY,3548.12,1.5486336E12,,
BTCUSDT,1h,SELL,3523.78,1.5486372E12,-0.1381471033946483,999.0717258551672
BTCUSDT,1h,BUY,3517.05,1.5486408E12,,
BTCUSDT,1h,SELL,3481.64,1.5486444E12,-0.2034098872944952,998.8683159678727
BTCUSDT,1h,BUY,3479.01,1.548648E12,,
BTCUSDT,1h,SELL,3438.22,1.5486516E12,-0.23727393825875262,998.6310420296139
BTCUSDT,1h,BUY,3451.3,1.5486552E12,,
BTCUSDT,1h,SELL,3454.4,1.5486588E12,0.017948124131541853,998.6489901537454
BTCUSDT,1h,BUY,3431.93,1.5486624E12,,
BTCUSDT,1h,SELL,3452.5,1.548666E12,0.11916002896451941,998.76815018271
BTCUSDT,1h,BUY,3435.46,1.5486696E12,,
BTCUSDT,1h,SELL,3427.57,1.5486732E12,-0.04603844706307893,998.7221117356469
BTCUSDT,1h,BUY,3421.15,1.5486768E12,,
BTCUSDT,1h,SELL,3427.92,1.5486804E12,0.03949917150925332,998.7616109071562
BTCUSDT,1h,BUY,3426.0,1.548684E12,,
BTCUSDT,1h,SELL,3420.06,1.5486876E12,-0.03473623269767229,998.7268746744585
BTCUSDT,1h,BUY,3411.05,1.5486912E12,,
BTCUSDT,1h,SELL,3418.64,1.5486948E12,0.04440362249315337,998.7712782969517
BTCUSDT,1h,BUY,3424.01,1.5486984E12,,
BTCUSDT,1h,SELL,3424.39,1.548702E12,0.0022193733774462277,998.7734976703291
BTCUSDT,1h,BUY,3428.0,1.5487056E12,,
BTCUSDT,1h,SELL,3423.01,1.5487092E12,-0.029155626188645558,998.7443420441405
BTCUSDT,1h,BUY,3435.07,1.5487128E12,,
BTCUSDT,1h,SELL,3434.15,1.5487164E12,-0.005357948837412884,998.7389840953031
BTCUSDT,1h,BUY,3436.54,1.54872E12,,
BTCUSDT,1h,SELL,3420.37,1.5487236E12,-0.09455117428816223,998.6444329210149
BTCUSDT,1h,BUY,3421.9,1.5487272E12,,
BTCUSDT,1h,SELL,3406.18,1.5487308E12,-0.09230281429636869,998.5521301067186
BTCUSDT,1h,BUY,3402.64,1.5487344E12,,
BTCUSDT,1h,SELL,3385.42,1.548738E12,-0.10173036137318146,998.4503997453454
BTCUSDT,1h,BUY,3386.96,1.5487416E12,,
BTCUSDT,1h,SELL,3366.41,1.5487452E12,-0.12208851565911569,998.3283112296863
BTCUSDT,1h,BUY,3383.17,1.5487488E12,,
BTCUSDT,1h,SELL,3394.97,1.5487524E12,0.06951460543097422,998.3978258351173
BTCUSDT,1h,BUY,3392.6,1.548756E12,,
BTCUSDT,1h,SELL,3385.32,1.5487596E12,-0.04300922807888025,998.3548166070384
